Analysis Time;Product Name;Product Code;Sample Type;Sample Number;Sample Comment;Instrument Name;Instrument Serial Number;Protein;Fat;SNF;TS;Lactose
19-06-2019 10:24:17;Milk 3 rep;16;Normal;50901;...;MAHS Simulator;MAHS_FT3_SIMULATOR;2,46;2,10;7,56;9,60;4,25
19-06-2019 10:24:17;Milk 3 rep;16;Normal;50902;...;MAHS Simulator;MAHS_FT3_SIMULATOR;2,82;2,85;7,99;10,80;4,26
19-06-2019 10:24:17;Milk 3 rep;16;Normal;50903;...;MAHS Simulator;MAHS_FT3_SIMULATOR;3,18;3,61;8,40;11,99;4,28
19-06-2019 10:24:17;Milk 3 rep;16;Normal;50904;...;MAHS Simulator;MAHS_FT3_SIMULATOR;3,17;3,59;8,82;12,38;4,71
19-06-2019 10:24:17;Milk 3 rep;16;Normal;50905;...;MAHS Simulator;MAHS_FT3_SIMULATOR;3,17;3,59;9,25;12,80;5,16
19-06-2019 10:24:17;Milk 3 rep;16;Normal;50906;...;MAHS Simulator;MAHS_FT3_SIMULATOR;3,53;4,35;8,74;13,10;4,23
19-06-2019 10:24:17;Milk 3 rep;16;Normal;50907;...;MAHS Simulator;MAHS_FT3_SIMULATOR;3,90;5,07;9,08;14,18;4,17
19-06-2019 10:24:17;Milk 3 rep;16;Normal;50908;...;MAHS Simulator;MAHS_FT3_SIMULATOR;3,19;5,07;8,38;13,42;4,21
19-06-2019 10:24:17;Milk 3 rep;16;Normal;50909;...;MAHS Simulator;MAHS_FT3_SIMULATOR;2,50;5,10;7,55;12,57;4,11
19-06-2019 10:24:17;Milk 3 rep;16;Normal;50910;...;MAHS Simulator;MAHS_FT3_SIMULATOR;2,48;3,66;7,55;11,14;4,17
19-06-2019 10:24:17;Milk 3 rep;16;Normal;50911;...;MAHS Simulator;MAHS_FT3_SIMULATOR;3,20;2,12;8,48;10,58;4,38
19-06-2019 10:24:17;Milk 3 rep;16;Normal;50912;...;MAHS Simulator;MAHS_FT3_SIMULATOR;3,92;2,08;9,23;11,35;4,36
19-06-2019 10:24:17;Milk 3 rep;16;Normal;50913;...;MAHS Simulator;MAHS_FT3_SIMULATOR;3,91;3,62;9,15;12,81;4,25
